breed,age_years,weight_kg,color,gender,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a4_tolerates_being_alone,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,c1_amount_of_shedding,c2_drooling_potential,d1_easy_to_train,d5_tendency_to_bark_or_howl,e1_energy_level,e3_exercise_needs,size,age_category,color_category,cluster,cluster_name,is_anomaly,anomaly_score
airedale terrier,13,35,White,Male,1,2,2,4,4,4,2,1,4,4,5,5,large,senior,light,0,family_active,1,0.11990421320075151
jack russell terrier,10,43,Tan,Female,3,2,3,5,4,5,3,1,4,4,5,5,large,senior,light,0,family_active,1,0.09907175259749268
dogo argentino,2,16,Spotted,Female,1,1,2,4,2,2,1,3,2,2,4,4,medium,puppy,mixed,3,large_working,1,0.0
labrador retriever,9,57,Bicolor,Male,1,3,2,5,5,5,5,3,5,4,5,5,large,senior,mixed,0,family_active,1,0.11542894055049463
french bulldog,12,39,Spotted,Male,5,5,1,5,4,4,3,1,4,3,3,2,large,senior,mixed,2,small_companion,1,0.14241912525877787
french bulldog,9,8,Black and Tan,Female,5,5,1,5,4,4,3,1,4,3,3,2,small,senior,dark,2,small_companion,1,0.14241912525877787
bull terrier,7,54,Red,Female,4,4,2,5,5,4,3,1,5,1,4,5,large,adult,unique,5,smart_active,1,0.10975066302350012
boxer,1,47,Black,Female,4,3,1,5,4,3,4,2,4,3,5,5,large,puppy,dark,3,large_working,1,0.13011879791857717
cocker spaniel,13,5,Brindle,Male,5,3,1,5,3,4,3,1,5,3,4,3,small,senior,mixed,2,small_companion,1,0.09819957107015731
shetland sheepdog,1,11,Cream,Female,2,3,2,5,5,4,5,1,5,1,4,4,small,puppy,light,5,smart_active,1,0.09560358723404627
whippet,3,38,Black and Tan,Female,5,3,2,5,5,4,2,1,4,1,5,5,large,puppy,dark,5,smart_active,1,0.10558414949628958
weimaraner,4,34,Black and Tan,Male,1,2,1,5,4,3,4,4,4,2,5,5,large,adult,dark,3,large_working,1,0.10893677592658224
havanese,13,26,Tan,Female,5,5,1,5,4,5,2,1,5,2,3,3,medium,senior,light,2,small_companion,1,0.12281828254349136
beagle,3,19,Black and Tan,Female,4,3,1,5,5,5,3,1,1,5,4,4,medium,puppy,dark,0,family_active,1,0.04668598771775645
maltese,2,57,Spotted,Male,5,5,1,5,3,4,2,1,4,2,3,2,large,puppy,mixed,2,small_companion,1,0.10626288972640852
maltese,12,27,White,Female,5,5,1,5,3,4,2,1,4,2,3,2,medium,senior,light,2,small_companion,1,0.10626288972640852
siberian husky,10,32,Brindle,Male,2,1,1,5,5,5,3,3,2,5,5,5,large,senior,mixed,0,family_active,1,0.05060466007524855
german shepherd dog,6,8,Gray,Female,3,2,2,5,5,2,5,1,5,4,5,5,small,adult,light,3,large_working,1,0.08877452506852401
bloodhound,7,54,Brindle,Female,1,2,2,5,5,5,4,5,3,4,5,5,large,adult,mixed,0,family_active,1,0.08520155191862566
bull terrier,2,35,Blue,Male,4,4,2,5,5,4,3,1,5,1,4,5,large,puppy,unique,5,smart_active,1,0.10975066302350012
havanese,13,44,White,Male,5,5,1,5,4,5,2,1,5,2,3,3,large,senior,light,2,small_companion,1,0.12281828254349136
irish setter,11,51,Bicolor,Female,1,3,2,5,5,5,4,2,4,4,5,5,large,senior,mixed,0,family_active,1,0.13291247026930442
maltese,12,28,Black,Male,5,5,1,5,3,4,2,1,4,2,3,2,medium,senior,dark,2,small_companion,1,0.10626288972640852
doberman pinscher,13,29,Black and Tan,Female,3,3,2,5,3,1,4,4,5,1,3,3,medium,senior,dark,3,large_working,1,0.04141680801384029
vizsla,9,48,Red,Female,1,3,1,5,5,5,2,1,5,5,5,5,large,senior,unique,0,family_active,1,0.0988842615370068
bernese mountain dog,12,18,Gray,Male,1,2,1,5,5,3,5,4,4,4,4,3,medium,senior,light,3,large_working,1,0.07387418429489756
shih tzu,13,37,Tan,Female,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,light,2,small_companion,1,0.11723197668689922
yorkshire terrier,8,37,Brown,Male,5,4,2,4,2,3,2,1,3,3,5,4,large,adult,dark,1,independent_character,1,0.08596830702228297
boxer,12,55,Bicolor,Male,4,3,1,5,4,3,4,2,4,3,5,5,large,senior,mixed,3,large_working,1,0.13011879791857717
boston terrier,8,59,Black,Male,5,4,3,4,5,5,2,1,4,3,4,4,large,adult,dark,5,smart_active,1,0.1022841672540743
chinese shar-pei,4,54,Tan,Female,4,2,4,2,2,1,5,2,3,5,2,3,large,adult,light,1,independent_character,1,0.03603625785343145
pug,5,30,Brown,Female,5,5,1,5,4,4,5,1,3,2,3,3,medium,adult,dark,2,small_companion,1,0.1093041223286344
chinese shar-pei,10,14,Tan,Female,4,2,4,2,2,1,5,2,3,5,2,3,small,senior,light,1,independent_character,1,0.03603625785343145
poodle,7,42,Black and White,Female,5,5,1,5,5,4,1,1,5,2,4,4,large,adult,mixed,2,small_companion,1,0.09188535307053725
australian shepherd,10,49,Merle,Female,1,2,2,5,4,5,3,1,5,4,5,5,large,senior,unique,0,family_active,1,0.11734127630666924
jack russell terrier,7,22,Tricolor,Female,3,2,3,5,4,5,3,1,4,4,5,5,medium,adult,mixed,0,family_active,1,0.09907175259749268
labrador retriever,5,28,White,Female,1,3,2,5,5,5,5,3,5,4,5,5,medium,adult,light,0,family_active,1,0.11542894055049463
miniature schnauzer,12,40,Brown,Female,4,3,5,5,3,3,2,1,5,3,5,5,large,senior,dark,5,smart_active,1,0.049418521329423815
saint bernard,2,40,Cream,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,puppy,light,3,large_working,1,0.010965258266183886
maltese,3,39,Merle,Male,5,5,1,5,3,4,2,1,4,2,3,2,large,puppy,unique,2,small_companion,1,0.10626288972640852
rottweiler,1,25,Spotted,Male,2,1,1,5,4,2,4,4,4,4,4,4,medium,puppy,mixed,3,large_working,1,0.1270094429307097
chinese shar-pei,1,10,Cream,Female,4,2,4,2,2,1,5,2,3,5,2,3,small,puppy,light,1,independent_character,1,0.03603625785343145
pekingese,11,25,Brindle,Female,5,4,3,5,2,2,4,1,3,4,2,2,medium,senior,mixed,1,independent_character,1,0.08882974922564046
cocker spaniel,8,11,White,Female,5,3,1,5,3,4,3,1,5,3,4,3,small,adult,light,2,small_companion,1,0.09819957107015731
cocker spaniel,7,13,Tricolor,Male,5,3,1,5,3,4,3,1,5,3,4,3,small,adult,mixed,2,small_companion,1,0.09819957107015731
chihuahua,3,5,Red,Female,5,4,1,5,5,2,2,1,4,3,3,1,small,puppy,unique,2,small_companion,1,0.04033536595833154
bull terrier,11,49,Brindle,Male,4,4,2,5,5,4,3,1,5,1,4,5,large,senior,mixed,5,smart_active,1,0.10975066302350012
shiba inu,12,30,Merle,Female,5,4,5,4,3,3,4,1,2,4,4,3,medium,senior,unique,1,independent_character,1,0.03866640228556284
german shepherd dog,10,43,Black and White,Male,3,2,2,5,5,2,5,1,5,4,5,5,large,senior,mixed,3,large_working,1,0.08877452506852401
boxer,11,12,Merle,Male,4,3,1,5,4,3,4,2,4,3,5,5,small,senior,unique,3,large_working,1,0.13011879791857717
shiba inu,13,14,Brown,Female,5,4,5,4,3,3,4,1,2,4,4,3,small,senior,dark,1,independent_character,1,0.03866640228556284
standard schnauzer,14,11,Cream,Female,4,2,2,4,4,3,1,1,3,2,5,5,small,senior,light,5,smart_active,1,0.06975670786733079
dachshund,9,34,Bicolor,Female,5,4,3,4,5,3,3,1,2,5,3,3,large,senior,mixed,1,independent_character,1,0.09346636634119565
papillon,9,10,Red,Male,5,5,1,5,3,4,2,1,5,2,4,5,small,senior,unique,2,small_companion,1,0.08890602129631608
havanese,3,41,Black and Tan,Male,5,5,1,5,4,5,2,1,5,2,3,3,large,puppy,dark,2,small_companion,1,0.12281828254349136
saint bernard,2,34,Gray,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,puppy,light,3,large_working,1,0.010965258266183886
pembroke welsh corgi,11,44,White,Male,4,4,3,5,4,3,5,1,5,2,4,4,large,senior,light,5,smart_active,1,0.11917582392484138
whippet,13,24,Bicolor,Male,5,3,2,5,5,4,2,1,4,1,5,5,medium,senior,mixed,5,smart_active,1,0.10558414949628958
great dane,3,52,Tan,Female,1,1,1,5,5,5,5,4,5,4,5,5,large,puppy,light,0,family_active,1,0.07166068511527701
akita,12,27,Merle,Female,2,2,1,5,1,1,5,5,2,5,4,4,medium,senior,unique,3,large_working,-1,-0.00886127305314277
labrador retriever,8,8,Sable,Female,1,3,2,5,5,5,5,3,5,4,5,5,small,adult,unique,0,family_active,1,0.11542894055049463
labrador retriever,7,12,Gray,Female,1,3,2,5,5,5,5,3,5,4,5,5,small,adult,light,0,family_active,1,0.11542894055049463
weimaraner,7,34,Brown,Male,1,2,1,5,4,3,4,4,4,2,5,5,large,adult,dark,3,large_working,1,0.10893677592658224
dogo argentino,3,25,Tricolor,Male,1,1,2,4,2,2,1,3,2,2,4,4,medium,puppy,mixed,3,large_working,1,0.0
poodle,12,13,Tricolor,Female,5,5,1,5,5,4,1,1,5,2,4,4,small,senior,mixed,2,small_companion,1,0.09188535307053725
bloodhound,2,23,Cream,Male,1,2,2,5,5,5,4,5,3,4,5,5,medium,puppy,light,0,family_active,1,0.08520155191862566
basenji,6,27,Black,Female,5,4,4,5,5,4,1,5,1,1,5,5,medium,adult,dark,4,outlier_unique,-1,-0.015910031319223084
papillon,7,27,Black and White,Female,5,5,1,5,3,4,2,1,5,2,4,5,medium,adult,mixed,2,small_companion,1,0.08890602129631608
doberman pinscher,10,26,Spotted,Female,3,3,2,5,3,1,4,4,5,1,3,3,medium,senior,mixed,3,large_working,1,0.04141680801384029
australian shepherd,13,51,Brown,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,senior,dark,0,family_active,1,0.11734127630666924
bulldog,10,44,Brindle,Male,5,4,3,5,4,2,3,5,3,4,2,3,large,senior,mixed,1,independent_character,1,0.08167644158922482
belgian malinois,4,39,Brindle,Female,1,3,3,5,4,2,2,1,5,2,5,5,large,adult,mixed,5,smart_active,1,0.056851380059695145
west highland white terrier,10,39,Bicolor,Male,4,4,2,5,4,5,4,1,4,4,4,4,large,senior,mixed,2,small_companion,1,0.11785238860222136
standard schnauzer,12,21,Spotted,Female,4,2,2,4,4,3,1,1,3,2,5,5,medium,senior,mixed,5,smart_active,1,0.06975670786733079
german shepherd dog,5,18,Brindle,Male,3,2,2,5,5,2,5,1,5,4,5,5,medium,adult,mixed,3,large_working,1,0.08877452506852401
german shepherd dog,12,33,Brindle,Female,3,2,2,5,5,2,5,1,5,4,5,5,large,senior,mixed,3,large_working,1,0.08877452506852401
bull terrier,3,18,Gray,Female,4,4,2,5,5,4,3,1,5,1,4,5,medium,puppy,light,5,smart_active,1,0.10975066302350012
belgian malinois,2,38,Black,Male,1,3,3,5,4,2,2,1,5,2,5,5,large,puppy,dark,5,smart_active,1,0.056851380059695145
saint bernard,7,31,Bicolor,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,adult,mixed,3,large_working,1,0.010965258266183886
bloodhound,1,18,Sable,Male,1,2,2,5,5,5,4,5,3,4,5,5,medium,puppy,unique,0,family_active,1,0.08520155191862566
pembroke welsh corgi,3,15,Black and Tan,Male,4,4,3,5,4,3,5,1,5,2,4,4,small,puppy,dark,5,smart_active,1,0.11917582392484138
irish setter,14,28,Red,Female,1,3,2,5,5,5,4,2,4,4,5,5,medium,senior,unique,0,family_active,1,0.13291247026930442
miniature schnauzer,7,26,Gray,Male,4,3,5,5,3,3,2,1,5,3,5,5,medium,adult,light,5,smart_active,1,0.049418521329423815
bichon frise,4,32,Tan,Male,5,5,1,5,4,4,2,1,5,2,5,3,large,adult,light,2,small_companion,1,0.15944015389041594
labrador retriever,8,50,Brown,Female,1,3,2,5,5,5,5,3,5,4,5,5,large,adult,dark,0,family_active,1,0.11542894055049463
chihuahua,6,26,Spotted,Female,5,4,1,5,5,2,2,1,4,3,3,1,medium,adult,mixed,2,small_companion,1,0.04033536595833154
saint bernard,14,36,Red,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,senior,unique,3,large_working,1,0.010965258266183886
dogo argentino,14,43,Sable,Male,1,1,2,4,2,2,1,3,2,2,4,4,large,senior,unique,3,large_working,1,0.0
siberian husky,11,23,Brown,Female,2,1,1,5,5,5,3,3,2,5,5,5,medium,senior,dark,0,family_active,1,0.05060466007524855
west highland white terrier,11,32,White,Female,4,4,2,5,4,5,4,1,4,4,4,4,large,senior,light,2,small_companion,1,0.11785238860222136
boston terrier,3,31,Black and White,Male,5,4,3,4,5,5,2,1,4,3,4,4,large,puppy,mixed,5,smart_active,1,0.1022841672540743
pembroke welsh corgi,7,28,Black,Male,4,4,3,5,4,3,5,1,5,2,4,4,medium,adult,dark,5,smart_active,1,0.11917582392484138
bulldog,7,12,Black and Tan,Female,5,4,3,5,4,2,3,5,3,4,2,3,small,adult,dark,1,independent_character,1,0.08167644158922482
beagle,11,18,Tricolor,Male,4,3,1,5,5,5,3,1,1,5,4,4,medium,senior,mixed,0,family_active,1,0.04668598771775645
bulldog,12,25,Cream,Female,5,4,3,5,4,2,3,5,3,4,2,3,medium,senior,light,1,independent_character,1,0.08167644158922482
jack russell terrier,2,35,Gray,Female,3,2,3,5,4,5,3,1,4,4,5,5,large,puppy,light,0,family_active,1,0.09907175259749268
papillon,10,40,Black,Female,5,5,1,5,3,4,2,1,5,2,4,5,large,senior,dark,2,small_companion,1,0.08890602129631608
french bulldog,11,15,Spotted,Male,5,5,1,5,4,4,3,1,4,3,3,2,small,senior,mixed,2,small_companion,1,0.14241912525877787
siberian husky,1,40,Blue,Male,2,1,1,5,5,5,3,3,2,5,5,5,large,puppy,unique,0,family_active,1,0.05060466007524855
weimaraner,2,10,Merle,Female,1,2,1,5,4,3,4,4,4,2,5,5,small,puppy,unique,3,large_working,1,0.10893677592658224
papillon,4,42,White,Female,5,5,1,5,3,4,2,1,5,2,4,5,large,adult,light,2,small_companion,1,0.08890602129631608
basenji,4,27,Bicolor,Female,5,4,4,5,5,4,1,5,1,1,5,5,medium,adult,mixed,4,outlier_unique,-1,-0.015910031319223084
chihuahua,2,38,Spotted,Female,5,4,1,5,5,2,2,1,4,3,3,1,large,puppy,mixed,2,small_companion,1,0.04033536595833154
australian shepherd,12,23,Black and Tan,Female,1,2,2,5,4,5,3,1,5,4,5,5,medium,senior,dark,0,family_active,1,0.11734127630666924
boston terrier,4,5,Brown,Male,5,4,3,4,5,5,2,1,4,3,4,4,small,adult,dark,5,smart_active,1,0.1022841672540743
saint bernard,5,36,White,Female,3,2,1,5,5,5,4,5,2,1,3,2,large,adult,light,3,large_working,1,0.010965258266183886
havanese,4,49,Red,Female,5,5,1,5,4,5,2,1,5,2,3,3,large,adult,unique,2,small_companion,1,0.12281828254349136
australian shepherd,10,35,Sable,Male,1,2,2,5,4,5,3,1,5,4,5,5,large,senior,unique,0,family_active,1,0.11734127630666924
shih tzu,10,50,Black,Male,5,5,3,5,4,4,3,1,3,2,2,2,large,senior,dark,2,small_companion,1,0.11723197668689922
dogo argentino,14,7,White,Male,1,1,2,4,2,2,1,3,2,2,4,4,small,senior,light,3,large_working,1,0.0
shetland sheepdog,6,26,Blue,Male,2,3,2,5,5,4,5,1,5,1,4,4,medium,adult,unique,5,smart_active,1,0.09560358723404627
lhasa apso,7,23,Gray,Male,5,5,4,4,4,3,3,1,3,4,4,3,medium,adult,light,1,independent_character,1,0.1145986381147937
rottweiler,9,21,White,Male,2,1,1,5,4,2,4,4,4,4,4,4,medium,senior,light,3,large_working,1,0.1270094429307097
poodle,11,40,Brindle,Female,5,5,1,5,5,4,1,1,5,2,4,4,large,senior,mixed,2,small_companion,1,0.09188535307053725
belgian malinois,10,17,Bicolor,Male,1,3,3,5,4,2,2,1,5,2,5,5,medium,senior,mixed,5,smart_active,1,0.056851380059695145
saint bernard,12,13,Sable,Male,3,2,1,5,5,5,4,5,2,1,3,2,small,senior,unique,3,large_working,1,0.010965258266183886
labrador retriever,6,31,Sable,Male,1,3,2,5,5,5,5,3,5,4,5,5,large,adult,unique,0,family_active,1,0.11542894055049463
standard schnauzer,6,40,Spotted,Female,4,2,2,4,4,3,1,1,3,2,5,5,large,adult,mixed,5,smart_active,1,0.06975670786733079
poodle,9,14,Black and White,Female,5,5,1,5,5,4,1,1,5,2,4,4,small,senior,mixed,2,small_companion,1,0.09188535307053725
cavalier king charles spaniel,5,36,Gray,Female,5,5,1,5,5,5,3,1,4,3,3,4,large,adult,light,2,small_companion,1,0.11561804964437455
labrador retriever,6,49,Merle,Female,1,3,2,5,5,5,5,3,5,4,5,5,large,adult,unique,0,family_active,1,0.11542894055049463
rottweiler,1,54,Blue,Male,2,1,1,5,4,2,4,4,4,4,4,4,large,puppy,unique,3,large_working,1,0.1270094429307097
whippet,4,48,Blue,Male,5,3,2,5,5,4,2,1,4,1,5,5,large,adult,unique,5,smart_active,1,0.10558414949628958
weimaraner,2,52,Bicolor,Female,1,2,1,5,4,3,4,4,4,2,5,5,large,puppy,mixed,3,large_working,1,0.10893677592658224
akita,7,5,Merle,Female,2,2,1,5,1,1,5,5,2,5,4,4,small,adult,unique,3,large_working,-1,-0.00886127305314277
lhasa apso,9,50,Brown,Male,5,5,4,4,4,3,3,1,3,4,4,3,large,senior,dark,1,independent_character,1,0.1145986381147937
pekingese,7,59,Tan,Female,5,4,3,5,2,2,4,1,3,4,2,2,large,adult,light,1,independent_character,1,0.08882974922564046
french bulldog,4,25,Black and Tan,Male,5,5,1,5,4,4,3,1,4,3,3,2,medium,adult,dark,2,small_companion,1,0.14241912525877787
